Date,Holiday Name,Information,More Information,Jurisdiction,Day Of Week
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
11/04/2020,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.industrialrelations.nsw.gov.au/public-holidays/public-holidays-nsw,Northern Territory,Saturday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,Northern Territory,Saturday
4/05/2020,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
8/06/2020,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
3/08/2020,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
24/12/2020,Christmas Eve,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Thursday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
28/12/2020,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
31/12/2020,New Year's Eve,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Thursday
1/01/2020,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Wednesday
27/01/2020,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
11/04/2020,The day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
12/04/2020,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
4/05/2020,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
5/10/2020,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
24/12/2020,Christmas Eve,"6pm to Midnight. From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve (24 December)",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Thursday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
26/12/2020,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
28/12/2020,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
1/01/2020,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Wednesday
26/01/2020,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Sunday
27/01/2020,Australia Day (Additional day),Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
9/03/2020,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
11/04/2020,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Saturday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Saturday
8/06/2020,Queen's Birthday/Volunteer's Day,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
5/10/2020,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
24/12/2020,Christmas Eve,Part-day public holiday from 7pm-12 midnight,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Thursday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
28/12/2020,Boxing/Proclamation Day ,Occurs the day after Christmas Day.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
31/12/2020,New Year's Eve,Part-day public holiday from 7pm-12 midnight,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Thursday
1/01/2020,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Wednesday
27/01/2020,Australia Day,Always celebrated on 26 January,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Monday
9/03/2020,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Monday
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Friday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Monday
14/04/2020,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Tuesday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Saturday
8/06/2020,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Monday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Friday
28/12/2020,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/laws/public_holidays,Tasmania,Monday
1/01/2020,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Wednesday
27/01/2020,Australia Day,Always celebrated on 26 January,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Monday
9/03/2020,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Monday
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Friday
11/04/2020,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Saturday
12/04/2020,Easter Sunday,Public Holiday as part of Easter.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Sunday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Monday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Saturday
8/06/2020,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Monday
23/10/2020,Friday before the AFL grand final,Always falls on Friday before the Grand Final,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,Victoria,Friday
3/11/2020,Melbourne cup day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2021,Victoria,Tuesday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Friday
26/12/2020,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Saturday
28/12/2020,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2020,Victoria,Monday
1/01/2020,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Wednesday
27/01/2020,Australia Day,Always celebrated on 26 January,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
2/03/2020,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
10/04/2020,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Friday
13/04/2020,Easter Monday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
25/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Saturday
27/04/2020,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
1/06/2020,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
28/09/2020,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
25/12/2020,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Friday
26/12/2020,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Saturday
28/12/2020,Boxing Day (Additional day),Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,Western Australia,Monday
1/01/2021,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Friday
26/01/2021,Australia Day,Always celebrated on 26 January,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Tuesday
8/03/2021,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
2/04/2021,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Friday
3/04/2021,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Saturday
4/04/2021,Easter Sunday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Sunday
5/04/2021,Easter Monday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
26/04/2021,Anzac Day,Celebrated on the 25 April each year.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
31/05/2021,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
14/06/2021,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
4/10/2021,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
25/12/2021,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Saturday
26/12/2021,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Sunday
27/12/2021,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Monday
28/12/2021,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.cmtedd.act.gov.au/communication/holidays,Australian Capital Territory,Tuesday
1/01/2021,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Friday
26/01/2021,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Tuesday
2/04/2021,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Friday
3/04/2021,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Saturday
4/04/2021,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Sunday
5/04/2021,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Monday
25/04/2021,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Sunday
14/06/2021,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Monday
2/08/2021,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Monday
4/10/2021,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Monday
25/12/2021,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Saturday
26/12/2021,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Sunday
27/12/2021,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Monday
28/12/2021,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,New South Wales,Tuesday
1/01/2021,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
26/01/2021,Australia Day,Always celebrated on 26 January,https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
2/04/2021,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
3/04/2021,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/nt-public-holidays,Northern Territory,Saturday
5/04/2021,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
26/04/2021,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
3/05/2021,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
14/06/2021,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
2/08/2021,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
24/12/2021,Christmas Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
25/12/2021,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,Northern Territory,Saturday
26/12/2021,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,Northern Territory,Sunday
27/12/2021,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://nt.gov.au/nt-public-holidays,Northern Territory,Monday
28/12/2021,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://nt.gov.au/nt-public-holidays,Northern Territory,Tuesday
31/12/2021,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,Northern Territory,Friday
1/01/2021,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
26/01/2021,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Tuesday
2/04/2021,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
3/04/2021,The Day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
4/04/2021,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
5/04/2021,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
26/04/2021,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
3/05/2021,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
4/10/2021,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
24/12/2021,Christmas Eve 6pm - Midnight,Part day public holiday from 6pm to midnight,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Friday
25/12/2021,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Saturday
26/12/2021,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Sunday
27/12/2021,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Monday
28/12/2021,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.qld.gov.au/recreation/travel/holidays/public,Queensland,Tuesday
1/01/2021,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
26/01/2021,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Tuesday
8/03/2021,Adelaide Cup Day,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Monday
2/04/2021,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,South Australia,Friday
